ID_Unique,Owner_code,Vis_NIR_SWIR_availability,MIR_availability,Sampling,Depth_cm,Lat,Long,Region,Municipality,State,Vegetation,Bioma,Geology,Sand_gkg,Clay_gkg,SOM_gkg,pH_H2O,Ca_mmolkg,Mg_mmolkg,Na_mmolkg,CEC_Ph7_mmolkg,,,,
3201,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,672,86,12.9,,17.4,12.3,,52.4,,,,
3204,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,861,21,9.5,,9.1,10.5,,29.4,,,,
3207,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,816,72,7.9,,2.1,1.8,,22,,,,
3210,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,877,44,9.5,,8.4,4.1,,26.3,,,,
3213,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,844,61,12.3,,1.2,1.1,,23.8,,,,
3216,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,798,110,12.9,,2.9,1.6,,29,,,,
3219,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,803,79,10.9,,7.9,6.5,,40.1,,,,
3222,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,761,107,10.6,,10.9,5.1,,36,,,,
3225,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,798,132,7.6,,6,6.3,,37.6,,,,
3228,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,708,133,14.5,,22.9,6.3,,53.6,,,,
3231,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,738,133,15.6,,22,11.6,,57.4,,,,
3234,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,718,119,17.6,,34.8,15.2,,67.3,,,,
3237,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,789,85,13.7,,3.3,2.9,,42,,,,
3240,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,808,85,8.4,,9.1,4.4,,30.8,,,,
3243,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,787,87,11.2,,13.9,10.6,,38.5,,,,
3246,JAMD,YES,NO,Auger,0-20,,,Southeast,,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,847,93,7.9,,0.9,0.6,,25,,,,
